"Oviedo"
Actualizado: miércoles, 18 octubre 2017 a las 18:42 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"16/10/2017 23:00","15.4","4","Este","10","Este","0.0","981.7","-0.9","88"
"17/10/2017 00:00","15.2","4","Este","12","Este","0.0","980.9","-1.6","89"
"17/10/2017 01:00","14.8","0","Calma","6","Este","0.0","980.2","-2.0","89"
"17/10/2017 02:00","14.5","2","Norte","5","Sur","0.0","979.3","-2.4","92"
"17/10/2017 03:00","14.0","4","Sur","8","Sur","0.0","978.1","-2.8","93"
"17/10/2017 04:00","13.6","4","Oeste","7","Oeste","0.0","977.7","-2.5","95"
"17/10/2017 05:00","13.4","3","Noroeste","8","Oeste","0.0","976.7","-2.6","96"
"17/10/2017 06:00","13.4","4","Sudeste","15","Sudeste","0.0","975.5","-2.6","95"
"17/10/2017 07:00","13.9","4","Noroeste","10","Sudeste","0.0","974.9","-2.8","92"
"17/10/2017 08:00","12.8","9","Noroeste","14","Noroeste","0.0","974.7","-2.0","98"
"17/10/2017 09:00","13.1","11","Noroeste","19","Oeste","0.0","975.3","-0.2","97"
"17/10/2017 10:00","13.8","5","Sudeste","19","Oeste","0.0","975.8","0.9","94"
"17/10/2017 11:00","15.4","2","Este","10","Sur","0.0","975.8","1.1","86"
"17/10/2017 12:00","14.5","6","Noroeste","11","Noroeste","0.0","976.0","0.7","92"
"17/10/2017 13:00","15.9","7","Sudeste","13","Oeste","0.0","975.7","-0.1","88"
"17/10/2017 14:00","16.3","8","Este","15","Este","0.0","975.5","-0.3","89"
"17/10/2017 15:00","16.0","7","Este","15","Este","0.4","975.2","-0.8","91"
"17/10/2017 16:00","15.4","9","Este","15","Sudeste","0.0","974.7","-1.0","92"
"17/10/2017 17:00","15.3","6","Este","14","Nordeste","0.0","974.6","-0.9","93"
"17/10/2017 18:00","14.9","10","Nordeste","24","Nordeste","0.0","974.6","-0.6","83"
"17/10/2017 19:00","14.9","8","Este","19","Este","0.0","974.8","0.1","80"
"17/10/2017 20:00","14.8","4","Sudeste","19","Este","0.0","974.9","0.3","79"
"17/10/2017 21:00","13.7","4","Este","12","Este","0.0","975.0","0.4","84"
"17/10/2017 22:00","13.0","10","Este","15","Este","0.0","974.5","-0.3","87"
"17/10/2017 23:00","12.5","4","Sudeste","12","Este","0.0","974.4","-0.5","89"
"18/10/2017 00:00","12.0","0","Calma","7","Sur","0.0","974.0","-1.0","95"
"18/10/2017 01:00","11.7","6","Sur","13","Sudoeste","0.0","973.3","-1.2","97"
"18/10/2017 02:00","11.5","6","Sur","10","Sur","0.0","972.5","-1.9","97"
"18/10/2017 03:00","11.5","4","Noroeste","10","Sudoeste","0.0","972.2","-1.8","98"
"18/10/2017 04:00","11.5","4","Sur","9","Sudoeste","0.0","971.8","-1.5","97"
"18/10/2017 05:00","11.7","4","Sur","8","Sur","0.0","971.2","-1.3","97"
"18/10/2017 06:00","11.7","2","Noroeste","8","Sur","0.0","970.4","-1.8","96"
"18/10/2017 07:00","11.3","5","Oeste","9","Oeste","0.0","970.2","-1.6","97"
"18/10/2017 08:00","11.9","4","Oeste","10","Oeste","0.0","970.0","-1.2","94"
"18/10/2017 09:00","11.9","6","Oeste","8","Oeste","0.0","970.0","-0.4","93"
"18/10/2017 10:00","11.8","7","Oeste","13","Oeste","0.0","970.5","0.3","92"
"18/10/2017 11:00","12.0","4","Sudoeste","10","Oeste","1.2","971.1","1.1","95"
"18/10/2017 12:00","12.4","3","Oeste","7","Oeste","1.2","971.2","1.2","96"
"18/10/2017 13:00","12.3","3","Oeste","8","Oeste","0.8","971.4","0.9","96"
"18/10/2017 14:00","12.7","2","Norte","6","Sudoeste","1.2","971.3","0.2","93"
"18/10/2017 15:00","12.7","7","Sudeste","9","Sudeste","0.6","970.9","-0.3","95"
"18/10/2017 16:00","13.6","5","Sudeste","10","Sudeste","0.2","970.5","-0.9","92"
"18/10/2017 17:00","14.1","6","Sudeste","9","Sudeste","0.0","970.7","-0.6","88"
"18/10/2017 18:00","14.0","2","Nordeste","11","Sudeste","0.0","970.7","-0.2","82"
