"Oviedo"
Actualizado: martes, 10 octubre 2017 a las 16:22 hora oficial

"Fecha y hora oficial","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"10/10/2017 16:00","22.0","6","Nordeste","12","Nordeste","0.0","979.6","-1.8","55"
"10/10/2017 15:00","21.2","5","Nordeste","11","Nordeste","0.0","980.0","-1.9","58"
"10/10/2017 14:00","19.4","5","Nordeste","8","Este","0.0","980.7","-1.4","63"
"10/10/2017 13:00","17.6","3","Sur","7","Sur","0.0","981.4","-0.7","64"
"10/10/2017 12:00","14.0","4","Sudeste","8","Sur","0.0","981.9","0.0","88"
"10/10/2017 11:00","11.7","2","Este","10","Sur","0.0","982.1","0.5","97"
"10/10/2017 10:00","9.6","9","Sur","12","Sur","0.0","982.1","0.8","95"
"10/10/2017 09:00","8.7","9","Sur","11","Sur","0.0","981.9","1.1","98"
"10/10/2017 08:00","9.0","8","Sur","12","Sur","0.0","981.6","0.6","98"
"10/10/2017 07:00","9.2","2","Sudoeste","10","Sur","0.0","981.3","0.4","98"
"10/10/2017 06:00","9.7","7","Sur","12","Sur","0.0","980.8","-0.8","99"
"10/10/2017 05:00","10.4","2","Sudeste","5","Sur","0.0","981.0","-0.5","98"
"10/10/2017 04:00","10.6","2","Sudeste","11","Sur","0.0","980.9","-0.8","97"
"10/10/2017 03:00","11.3","8","Sur","11","Sur","0.0","981.6","-0.2","98"
"10/10/2017 02:00","11.8","5","Sur","8","Sur","0.0","981.5","-0.3","98"
"10/10/2017 01:00","12.0","5","Sur","8","Sur","0.0","981.7","-0.3","97"
"10/10/2017 00:00","12.5","4","Sudoeste","6","Sudoeste","0.0","981.8","0.0","97"
"09/10/2017 23:00","13.0","4","Sur","6","Sur","0.0","981.8","0.0","97"
"09/10/2017 22:00","13.6","4","Oeste","6","Noroeste","0.0","982.0","0.5","94"
"09/10/2017 21:00","14.5","0","Calma","7","Este","0.0","981.8","0.3","89"
"09/10/2017 20:00","15.8","5","Este","11","Este","0.0","981.8","0.3","83"
"09/10/2017 19:00","17.1","5","Este","13","Este","0.0","981.5","-0.1","78"
"09/10/2017 18:00","18.8","6","Nordeste","18","Este","0.0","981.5","-0.5","70"
"09/10/2017 17:00","20.0","8","Este","17","Nordeste","0.0","981.5","-1.1","65"
