date,lat[unit="degrees_north"],lon[unit="degrees_east"],dir[unit="degree"],mod[unit="m s-1"],mslp[unit="Pa"],prec[unit="kg m-2"],rh[unit="1"],temp[unit="K"],wind_gust[unit="m s-1"]
2015-10-15T13:00:00Z,43.30409333859623,-5.88658785664861,29.211597,5.076003,101692.17,0.0,0.4861827,289.59418,4.9939604
2015-10-15T14:00:00Z,43.30409333859623,-5.88658785664861,42.583057,5.4308057,101662.31,0.0,0.54460275,288.8647,5.814326
2015-10-15T15:00:00Z,43.30409333859623,-5.88658785664861,53.52087,5.6254845,101634.39,0.0,0.57398045,288.39944,6.390116
2015-10-15T16:00:00Z,43.30409333859623,-5.88658785664861,59.859642,5.565015,101634.79,0.0,0.6257373,287.29306,6.993754
2015-10-15T17:00:00Z,43.30409333859623,-5.88658785664861,62.766567,4.1714525,101686.4,0.0,0.7052041,285.7543,6.903299
2015-10-15T18:00:00Z,43.30409333859623,-5.88658785664861,66.8723,2.978301,101695.09,0.0,0.7933711,284.1927,6.8328295
2015-10-15T19:00:00Z,43.30409333859623,-5.88658785664861,76.1033,1.3308128,101685.1,0.0,0.9133035,282.9084,6.804284
2015-10-15T20:00:00Z,43.30409333859623,-5.88658785664861,74.26896,0.5096733,101662.84,0.0,0.9284555,282.2144,4.6331306
2015-10-15T21:00:00Z,43.30409333859623,-5.88658785664861,34.34659,0.28247213,101706.77,0.0,0.93208003,281.8893,4.7367916
2015-10-15T22:00:00Z,43.30409333859623,-5.88658785664861,30.660145,0.24754721,101726.09,0.0,0.9278906,281.64807,4.7681494
2015-10-15T23:00:00Z,43.30409333859623,-5.88658785664861,102.965126,0.6227083,101660.09,0.0,0.91593593,281.54388,1.1424838
2015-10-16T00:00:00Z,43.30409333859623,-5.88658785664861,122.793,0.6773258,101589.71,0.0,0.8891871,281.51093,1.2360711
2015-10-16T01:00:00Z,43.30409333859623,-5.88658785664861,165.43561,0.6893817,101598.76,0.0,0.8645668,281.444,1.2541188
2015-10-16T02:00:00Z,43.30409333859623,-5.88658785664861,175.57413,0.52381784,101598.13,0.0,0.85838825,281.4158,1.0091383
2015-10-16T03:00:00Z,43.30409333859623,-5.88658785664861,171.3369,1.0675827,101580.77,0.0,0.8446492,281.55887,2.021517
2015-10-16T04:00:00Z,43.30409333859623,-5.88658785664861,190.00867,1.9881076,101516.06,0.0,0.8192101,281.87918,3.7036834
2015-10-16T05:00:00Z,43.30409333859623,-5.88658785664861,186.94328,2.3359447,101501.65,0.0,0.81115544,282.03394,4.3355513
2015-10-16T06:00:00Z,43.30409333859623,-5.88658785664861,194.17377,2.4158187,101524.33,0.0,0.8062527,282.22018,4.430235
2015-10-16T07:00:00Z,43.30409333859623,-5.88658785664861,202.62805,1.9062327,101544.31,0.0,0.80370426,282.26138,3.5766606
2015-10-16T08:00:00Z,43.30409333859623,-5.88658785664861,205.95432,1.9222181,101582.45,0.0,0.79560155,282.49017,3.5640023
2015-10-16T09:00:00Z,43.30409333859623,-5.88658785664861,218.26295,1.5425091,101615.31,0.0,0.7872917,283.4492,2.9091291
